0	 (I)  	Thread ID 101424	Log subsystem started in elapsed time mode.
109	 (I)  	Thread ID 101568	Service thread started
218	 (i)  	Thread ID 101568	GLWidgetContext: Widget->LCLwin32\64
328	 (i)  	Thread ID 101568	Temporary rendering context created
328	 (I)  	Thread ID 101568	Getting OpenGL entry points and extension
328	 (I)  	Thread ID 101568	
328	 (i)  	Thread ID 101568	OpenGL rendering context information:
343	 (i)  	Thread ID 101568	Renderer     : Intel(R) HD Graphics
343	 (i)  	Thread ID 101568	Vendor       : Intel
343	 (i)  	Thread ID 101568	Version      : 4.0.0 - Build 10.18.10.3496
343	 (i)  	Thread ID 101568	GLSL version : 4.00 - Build 10.18.10.3496
343	 (I)  	Thread ID 101568	
562	 (I)  	Thread ID 101568	Getting OpenGL entry points and extension
578	 (i)  	Thread ID 101568	Backward compatible core PBuffer context successfully created
578	 (I)  	Thread ID 101568	Service context successfuly initialized
609	 (i)  	Thread ID 101424	GLWidgetContext: Widget->LCLwin32\64
609	 (i)  	Thread ID 101424	GLWidgetContext: Widget->LCLwin32\64
687	 (i)  	Thread ID 101424	Temporary rendering context created
687	 (I)  	Thread ID 101424	Getting OpenGL entry points and extension
734	 (i)  	Thread ID 101424	Temporary rendering context destroyed
890	 (I)  	Thread ID 101424	Getting OpenGL entry points and extension
1406	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1515	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1562	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1593	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1640	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1672	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1703	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1734	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1781	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1812	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1843	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1875	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1922	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1953	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
1984	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2031	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2062	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2109	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2140	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2172	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2203	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2250	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2265	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2297	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2343	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2375	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2406	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2453	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2484	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2515	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2562	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2593	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2625	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2656	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2703	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2734	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2765	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2797	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2843	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2875	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2906	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2937	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
2984	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3015	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3047	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3078	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3125	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3156	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3187	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3218	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3265	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3297	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3328	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3359	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3390	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3437	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3468	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
3500	 (D)  	Thread ID 101424	Wide lines have been deprecated. glLineWidth set to 10.000000. glLineWidth with width greater than 1.0 will generate GL_INVALID_VALUE error in future versions
